4,1312111,12-1-2013,12-1-2023,34
5,0906321,6-2-2009,6-2-2019,23
6,1108221,8-3-2011,8-3-2021,56
7,1205111,5-4-2012,5-4-2017,34
8,1503888,3-26-2015,3-26-2025,86
9,1204131,4-11-2012,4-11-2022,54
10,1405666,5-24-2014,5-24-2024,83
11,1501742,1-12-2015,1-12-2025,26
12,0908526,8-22-2009,8-22-2014,53
13,1704918,4-21-2017,4-21-2020,85
14,1404629,4-26-2014,4-26-2024,36
15,1106319,6-29-2011,6-29-2020,46
16,1301529,2-26-2013,2-26-2023,95
17,1108666,8-29-2011,8-29-2021,46
18,1211123,11-23-2012,11-23-2022,35
19,1007539,7-17-2010,7-17-2018,42
20,1709542,9-7-2017,9-7-2999,34
